name;year;sex;births;prop;rank;rank_change_yoy
Abigaïl;2021;f;2;5.35E-05;1600;306
Abigaïl;2022;f;2;5.59E-05;1849;-249
Abril;2001;f;1;3.54E-05;1162;
Abril;2004;f;2;6.92E-05;1103;
Abril;2009;f;2;6.38E-05;1284;
Abril;2010;f;2;6.14E-05;1339;-55
Abril;2012;f;1;3.00E-05;1683;
Abril;2013;f;1;2.98E-05;1733;-50
Abril;2014;f;3;8.60E-05;1275;458
Abril;2015;f;3;8.44E-05;1277;-2
Abril;2018;f;3;8.21E-05;1336;
Abril;2019;f;1;2.78E-05;1884;-548
Abril;2020;f;2;5.61E-05;1612;272
Abril;2022;f;2;5.59E-05;1849;
Acyl;2015;f;1;2.81E-05;1769;
Acyl;2022;f;2;5.59E-05;1849;
Ada;2000;f;5;0.000166706;691;
Ada;2001;f;3;0.000106153;837;-146
Ada;2002;f;3;0.000106523;887;-50
Ada;2003;f;2;7.14E-05;1048;-161
Ada;2004;f;5;0.000173034;759;289
Ada;2005;f;11;0.000380583;494;265
Ada;2006;f;3;0.000103114;1013;-519
Ada;2007;f;5;0.000167735;835;178
Ada;2008;f;13;0.000425184;481;354
Ada;2009;f;6;0.000191357;802;-321
Ada;2010;f;15;0.000460547;457;345
Ada;2011;f;13;0.000398419;501;-44
Ada;2012;f;21;0.000630801;341;160
Ada;2013;f;18;0.000535587;393;-52
Ada;2014;f;16;0.000458847;462;-69
Ada;2015;f;12;0.000337477;575;-113
Ada;2016;f;18;0.00049441;425;150
Ada;2017;f;37;0.001025385;210;215
Ada;2018;f;30;0.000820771;269;-59
Ada;2019;f;23;0.000639724;343;-74
Ada;2020;f;28;0.000785171;280;63
Ada;2021;f;33;0.000882235;245;35
Ada;2022;f;34;0.00095057;212;33
Adaline;2008;f;1;3.27E-05;1459;
Adaline;2015;f;1;2.81E-05;1769;
Adaline;2017;f;2;5.54E-05;1568;
Adaline;2018;f;4;0.000109436;1183;385
Adaline;2019;f;9;0.000250327;710;473
Adaline;2020;f;10;0.000280418;639;71
Adaline;2021;f;4;0.000106938;1234;-595
Adaline;2022;f;2;5.59E-05;1849;-615
Adara;2003;f;1;3.57E-05;1256;
Adara;2008;f;1;3.27E-05;1459;
Adara;2009;f;1;3.19E-05;1551;-92
Adara;2014;f;1;2.87E-05;1747;
Adara;2017;f;1;2.77E-05;1860;
Adara;2020;f;2;5.61E-05;1612;
Adara;2022;f;6;0.000167748;906;
Adea;2000;f;1;3.33E-05;1166;
Adea;2001;f;1;3.54E-05;1162;4
Adea;2002;f;1;3.55E-05;1216;-54
Adea;2003;f;4;0.000142867;796;420
Adea;2004;f;6;0.000207641;687;109
Adea;2005;f;5;0.000172992;783;-96
Adea;2006;f;6;0.000206228;724;59
Adea;2007;f;10;0.000335469;564;160
Adea;2008;f;4;0.000130826;945;-381
Adea;2009;f;3;9.57E-05;1106;-161
Adea;2010;f;8;0.000245625;693;413
Adea;2011;f;9;0.000275828;652;41
Adea;2012;f;10;0.000300381;612;40
Adea;2013;f;7;0.000208284;786;-174
Adea;2014;f;12;0.000344135;559;227
Adea;2015;f;15;0.000421846;488;71
Adea;2016;f;21;0.000576812;373;115
Adea;2017;f;17;0.000471123;445;-72
Adea;2018;f;18;0.000492463;428;17
Adea;2019;f;21;0.000584096;385;43
Adea;2020;f;23;0.000644962;333;52
Adea;2021;f;18;0.000481219;425;-92
Adea;2022;f;25;0.000698949;299;126
Adel;2000;f;1;3.33E-05;1166;
Adel;2009;f;1;3.19E-05;1551;
Adel;2012;f;2;6.01E-05;1400;
Adel;2014;f;1;2.87E-05;1747;
Adel;2016;f;1;2.75E-05;1839;
Adel;2017;f;2;5.54E-05;1568;271
Adel;2019;f;3;8.34E-05;1350;
Adel;2020;f;3;8.41E-05;1378;-28
Adel;2021;f;2;5.35E-05;1600;-222
Adel;2022;f;2;5.59E-05;1849;-249
Adela;2000;f;1;3.33E-05;1166;
Adela;2002;f;5;0.000177538;720;
Adela;2003;f;3;0.000107151;914;-194
Adela;2004;f;5;0.000173034;759;155
Adela;2005;f;3;0.000103795;971;-212
Adela;2006;f;3;0.000103114;1013;-42
Adela;2007;f;3;0.000100641;1039;-26
Adela;2008;f;3;9.81E-05;1050;-11
Adela;2009;f;7;0.00022325;740;310
Adela;2010;f;4;0.000122812;1031;-291
Adela;2011;f;5;0.000153238;891;140
Adela;2012;f;10;0.000300381;612;279
Adela;2013;f;4;0.000119019;1078;-466
Adela;2014;f;4;0.000114712;1117;-39
Adela;2015;f;7;0.000196861;811;306
Adela;2016;f;10;0.000274672;651;160
Adela;2017;f;9;0.000249418;701;-50
Adela;2018;f;7;0.000191513;840;-139
Adela;2019;f;14;0.000389397;518;322
Adela;2020;f;6;0.000168251;931;-413
Adela;2021;f;10;0.000267344;687;244
Adela;2022;f;9;0.000251622;681;6
Adelaide;2003;f;2;7.14E-05;1048;
Adelaide;2006;f;1;3.44E-05;1435;
Adelaide;2007;f;1;3.35E-05;1449;-14
Adelaide;2009;f;2;6.38E-05;1284;
Adelaide;2010;f;1;3.07E-05;1591;-307
Adelaide;2012;f;1;3.00E-05;1683;
Adelaide;2014;f;2;5.74E-05;1480;
Adelaide;2015;f;2;5.62E-05;1480;0
Adelaide;2017;f;2;5.54E-05;1568;
Adelaide;2018;f;3;8.21E-05;1336;232
Adelaide;2019;f;3;8.34E-05;1350;-14
Adelaide;2020;f;4;0.000112167;1200;150
Adelaide;2021;f;2;5.35E-05;1600;-400
Adelaide;2022;f;4;0.000111832;1199;401
Adele;2000;f;7;0.000233388;596;
Adele;2001;f;2;7.08E-05;948;-352
Adele;2002;f;2;7.10E-05;1020;-72
Adele;2003;f;1;3.57E-05;1256;-236
Adele;2004;f;4;0.000138427;845;411
Adele;2006;f;4;0.000137485;888;
Adele;2007;f;2;6.71E-05;1208;-320
Adele;2008;f;4;0.000130826;945;263
Adele;2009;f;6;0.000191357;802;143
Adele;2010;f;2;6.14E-05;1339;-537
